ID,DATA,CLIENTE,PRODUTO,CATEGORIA,QUANTIDADE,PRECO_UNITARIO,DESCONTO_PERCENTUAL,FORMA_PAGAMENTO,CIDADE,ESTADO,STATUS
1,2025-02-02,CLIENTE_0001,PRODUTO_002,CATEGORIA_02,2,16.37,1,PIX,CIDADE_02,UF02,PENDENTE
2,2026-03-03,CLIENTE_0002,PRODUTO_003,CATEGORIA_03,3,17.74,2,BOLETO,CIDADE_03,UF03,CANCELADO
3,2024-04-04,CLIENTE_0003,PRODUTO_004,CATEGORIA_04,4,19.11,3,CARTAO_DEBITO,CIDADE_04,UF04,PAGO
4,2025-05-05,CLIENTE_0004,PRODUTO_005,CATEGORIA_05,5,20.48,4,CARTAO_CREDITO,CIDADE_05,UF05,PENDENTE
5,2026-06-06,CLIENTE_0005,PRODUTO_006,CATEGORIA_06,6,21.85,5,PIX,CIDADE_06,UF06,CANCELADO
6,2024-07-07,CLIENTE_0006,PRODUTO_007,CATEGORIA_07,7,23.22,6,BOLETO,CIDADE_07,UF07,PAGO
7,2025-08-08,CLIENTE_0007,PRODUTO_008,CATEGORIA_08,8,24.59,7,CARTAO_DEBITO,CIDADE_08,UF08,PENDENTE
8,2026-09-09,CLIENTE_0008,PRODUTO_009,CATEGORIA_09,9,25.96,8,CARTAO_CREDITO,CIDADE_09,UF09,CANCELADO
9,2024-10-10,CLIENTE_0009,PRODUTO_010,CATEGORIA_10,10,27.33,9,PIX,CIDADE_10,UF10,PAGO
10,2025-11-11,CLIENTE_0010,PRODUTO_011,CATEGORIA_11,1,28.70,10,BOLETO,CIDADE_11,UF11,PENDENTE
11,2026-12-12,CLIENTE_0011,PRODUTO_012,CATEGORIA_12,2,30.07,11,CARTAO_DEBITO,CIDADE_12,UF12,CANCELADO
12,2024-01-13,CLIENTE_0012,PRODUTO_013,CATEGORIA_01,3,31.44,12,CARTAO_CREDITO,CIDADE_13,UF13,PAGO
13,2025-02-14,CLIENTE_0013,PRODUTO_014,CATEGORIA_02,4,32.81,13,PIX,CIDADE_14,UF14,PENDENTE
14,2026-03-15,CLIENTE_0014,PRODUTO_015,CATEGORIA_03,5,34.18,14,BOLETO,CIDADE_15,UF15,CANCELADO
15,2024-04-16,CLIENTE_0015,PRODUTO_016,CATEGORIA_04,6,35.55,15,CARTAO_DEBITO,CIDADE_16,UF16,PAGO
16,2025-05-17,CLIENTE_0016,PRODUTO_017,CATEGORIA_05,7,36.92,16,CARTAO_CREDITO,CIDADE_17,UF17,PENDENTE
17,2026-06-18,CLIENTE_0017,PRODUTO_018,CATEGORIA_06,8,38.29,17,PIX,CIDADE_18,UF18,CANCELADO
18,2024-07-19,CLIENTE_0018,PRODUTO_019,CATEGORIA_07,9,39.66,18,BOLETO,CIDADE_19,UF19,PAGO
19,2025-08-20,CLIENTE_0019,PRODUTO_020,CATEGORIA_08,10,41.03,19,CARTAO_DEBITO,CIDADE_20,UF20,PENDENTE
20,2026-09-21,CLIENTE_0020,PRODUTO_021,CATEGORIA_09,1,42.40,20,CARTAO_CREDITO,CIDADE_21,UF21,CANCELADO
21,2024-10-22,CLIENTE_0021,PRODUTO_022,CATEGORIA_10,2,43.77,21,PIX,CIDADE_22,UF22,PAGO
22,2025-11-23,CLIENTE_0022,PRODUTO_023,CATEGORIA_11,3,45.14,22,BOLETO,CIDADE_23,UF23,PENDENTE
23,2026-12-24,CLIENTE_0023,PRODUTO_024,CATEGORIA_12,4,46.51,23,CARTAO_DEBITO,CIDADE_24,UF24,CANCELADO
24,2024-01-25,CLIENTE_0024,PRODUTO_025,CATEGORIA_01,5,47.88,24,CARTAO_CREDITO,CIDADE_25,UF25,PAGO
25,2025-02-26,CLIENTE_0025,PRODUTO_026,CATEGORIA_02,6,49.25,0,PIX,CIDADE_26,UF26,PENDENTE
26,2026-03-27,CLIENTE_0026,PRODUTO_027,CATEGORIA_03,7,50.62,1,BOLETO,CIDADE_27,UF27,CANCELADO
27,2024-04-28,CLIENTE_0027,PRODUTO_028,CATEGORIA_04,8,51.99,2,CARTAO_DEBITO,CIDADE_28,UF01,PAGO
28,2025-05-01,CLIENTE_0028,PRODUTO_029,CATEGORIA_05,9,53.36,3,CARTAO_CREDITO,CIDADE_29,UF02,PENDENTE
29,2026-06-02,CLIENTE_0029,PRODUTO_030,CATEGORIA_06,10,54.73,4,PIX,CIDADE_30,UF03,CANCELADO
30,2024-07-03,CLIENTE_0030,PRODUTO_031,CATEGORIA_07,1,56.10,5,BOLETO,CIDADE_31,UF04,PAGO
31,2025-08-04,CLIENTE_0031,PRODUTO_032,CATEGORIA_08,2,57.47,6,CARTAO_DEBITO,CIDADE_32,UF05,PENDENTE
32,2026-09-05,CLIENTE_0032,PRODUTO_033,CATEGORIA_09,3,58.84,7,CARTAO_CREDITO,CIDADE_33,UF06,CANCELADO
33,2024-10-06,CLIENTE_0033,PRODUTO_034,CATEGORIA_10,4,60.21,8,PIX,CIDADE_34,UF07,PAGO
34,2025-11-07,CLIENTE_0034,PRODUTO_035,CATEGORIA_11,5,61.58,9,BOLETO,CIDADE_35,UF08,PENDENTE
35,2026-12-08,CLIENTE_0035,PRODUTO_036,CATEGORIA_12,6,62.95,10,CARTAO_DEBITO,CIDADE_36,UF09,CANCELADO
36,2024-01-09,CLIENTE_0036,PRODUTO_037,CATEGORIA_01,7,64.32,11,CARTAO_CREDITO,CIDADE_37,UF10,PAGO
37,2025-02-10,CLIENTE_0037,PRODUTO_038,CATEGORIA_02,8,65.69,12,PIX,CIDADE_38,UF11,PENDENTE
38,2026-03-11,CLIENTE_0038,PRODUTO_039,CATEGORIA_03,9,67.06,13,BOLETO,CIDADE_39,UF12,CANCELADO
39,2024-04-12,CLIENTE_0039,PRODUTO_040,CATEGORIA_04,10,68.43,14,CARTAO_DEBITO,CIDADE_40,UF13,PAGO
40,2025-05-13,CLIENTE_0040,PRODUTO_041,CATEGORIA_05,1,69.80,15,CARTAO_CREDITO,CIDADE_01,UF14,PENDENTE
41,2026-06-14,CLIENTE_0041,PRODUTO_042,CATEGORIA_06,2,71.17,16,PIX,CIDADE_02,UF15,CANCELADO
42,2024-07-15,CLIENTE_0042,PRODUTO_043,CATEGORIA_07,3,72.54,17,BOLETO,CIDADE_03,UF16,PAGO
43,2025-08-16,CLIENTE_0043,PRODUTO_044,CATEGORIA_08,4,73.91,18,CARTAO_DEBITO,CIDADE_04,UF17,PENDENTE
44,2026-09-17,CLIENTE_0044,PRODUTO_045,CATEGORIA_09,5,75.28,19,CARTAO_CREDITO,CIDADE_05,UF18,CANCELADO
45,2024-10-18,CLIENTE_0045,PRODUTO_046,CATEGORIA_10,6,76.65,20,PIX,CIDADE_06,UF19,PAGO
46,2025-11-19,CLIENTE_0046,PRODUTO_047,CATEGORIA_11,7,78.02,21,BOLETO,CIDADE_07,UF20,PENDENTE
47,2026-12-20,CLIENTE_0047,PRODUTO_048,CATEGORIA_12,8,79.39,22,CARTAO_DEBITO,CIDADE_08,UF21,CANCELADO
48,2024-01-21,CLIENTE_0048,PRODUTO_049,CATEGORIA_01,9,80.76,23,CARTAO_CREDITO,CIDADE_09,UF22,PAGO
49,2025-02-22,CLIENTE_0049,PRODUTO_050,CATEGORIA_02,10,82.13,24,PIX,CIDADE_10,UF23,PENDENTE
50,2026-03-23,CLIENTE_0050,PRODUTO_051,CATEGORIA_03,1,83.50,0,BOLETO,CIDADE_11,UF24,CANCELADO
51,2024-04-24,CLIENTE_0051,PRODUTO_052,CATEGORIA_04,2,84.87,1,CARTAO_DEBITO,CIDADE_12,UF25,PAGO
52,2025-05-25,CLIENTE_0052,PRODUTO_053,CATEGORIA_05,3,86.24,2,CARTAO_CREDITO,CIDADE_13,UF26,PENDENTE
53,2026-06-26,CLIENTE_0053,PRODUTO_054,CATEGORIA_06,4,87.61,3,PIX,CIDADE_14,UF27,CANCELADO
54,2024-07-27,CLIENTE_0054,PRODUTO_055,CATEGORIA_07,5,88.98,4,BOLETO,CIDADE_15,UF01,PAGO
55,2025-08-28,CLIENTE_0055,PRODUTO_056,CATEGORIA_08,6,90.35,5,CARTAO_DEBITO,CIDADE_16,UF02,PENDENTE
56,2026-09-01,CLIENTE_0056,PRODUTO_057,CATEGORIA_09,7,91.72,6,CARTAO_CREDITO,CIDADE_17,UF03,CANCELADO
57,2024-10-02,CLIENTE_0057,PRODUTO_058,CATEGORIA_10,8,93.09,7,PIX,CIDADE_18,UF04,PAGO
58,2025-11-03,CLIENTE_0058,PRODUTO_059,CATEGORIA_11,9,94.46,8,BOLETO,CIDADE_19,UF05,PENDENTE
59,2026-12-04,CLIENTE_0059,PRODUTO_060,CATEGORIA_12,10,95.83,9,CARTAO_DEBITO,CIDADE_20,UF06,CANCELADO
60,2024-01-05,CLIENTE_0060,PRODUTO_061,CATEGORIA_01,1,97.20,10,CARTAO_CREDITO,CIDADE_21,UF07,PAGO
61,2025-02-06,CLIENTE_0061,PRODUTO_062,CATEGORIA_02,2,98.57,11,PIX,CIDADE_22,UF08,PENDENTE
62,2026-03-07,CLIENTE_0062,PRODUTO_063,CATEGORIA_03,3,99.94,12,BOLETO,CIDADE_23,UF09,CANCELADO
63,2024-04-08,CLIENTE_0063,PRODUTO_064,CATEGORIA_04,4,101.31,13,CARTAO_DEBITO,CIDADE_24,UF10,PAGO
64,2025-05-09,CLIENTE_0064,PRODUTO_065,CATEGORIA_05,5,102.68,14,CARTAO_CREDITO,CIDADE_25,UF11,PENDENTE
65,2026-06-10,CLIENTE_0065,PRODUTO_066,CATEGORIA_06,6,104.05,15,PIX,CIDADE_26,UF12,CANCELADO
66,2024-07-11,CLIENTE_0066,PRODUTO_067,CATEGORIA_07,7,105.42,16,BOLETO,CIDADE_27,UF13,PAGO
67,2025-08-12,CLIENTE_0067,PRODUTO_068,CATEGORIA_08,8,106.79,17,CARTAO_DEBITO,CIDADE_28,UF14,PENDENTE
68,2026-09-13,CLIENTE_0068,PRODUTO_069,CATEGORIA_09,9,108.16,18,CARTAO_CREDITO,CIDADE_29,UF15,CANCELADO
69,2024-10-14,CLIENTE_0069,PRODUTO_070,CATEGORIA_10,10,109.53,19,PIX,CIDADE_30,UF16,PAGO
70,2025-11-15,CLIENTE_0070,PRODUTO_071,CATEGORIA_11,1,110.90,20,BOLETO,CIDADE_31,UF17,PENDENTE
71,2026-12-16,CLIENTE_0071,PRODUTO_072,CATEGORIA_12,2,112.27,21,CARTAO_DEBITO,CIDADE_32,UF18,CANCELADO
72,2024-01-17,CLIENTE_0072,PRODUTO_073,CATEGORIA_01,3,113.64,22,CARTAO_CREDITO,CIDADE_33,UF19,PAGO
73,2025-02-18,CLIENTE_0073,PRODUTO_074,CATEGORIA_02,4,115.01,23,PIX,CIDADE_34,UF20,PENDENTE
74,2026-03-19,CLIENTE_0074,PRODUTO_075,CATEGORIA_03,5,116.38,24,BOLETO,CIDADE_35,UF21,CANCELADO
75,2024-04-20,CLIENTE_0075,PRODUTO_076,CATEGORIA_04,6,117.75,0,CARTAO_DEBITO,CIDADE_36,UF22,PAGO
76,2025-05-21,CLIENTE_0076,PRODUTO_077,CATEGORIA_05,7,119.12,1,CARTAO_CREDITO,CIDADE_37,UF23,PENDENTE
77,2026-06-22,CLIENTE_0077,PRODUTO_078,CATEGORIA_06,8,120.49,2,PIX,CIDADE_38,UF24,CANCELADO
78,2024-07-23,CLIENTE_0078,PRODUTO_079,CATEGORIA_07,9,121.86,3,BOLETO,CIDADE_39,UF25,PAGO
79,2025-08-24,CLIENTE_0079,PRODUTO_080,CATEGORIA_08,10,123.23,4,CARTAO_DEBITO,CIDADE_40,UF26,PENDENTE
80,2026-09-25,CLIENTE_0080,PRODUTO_081,CATEGORIA_09,1,124.60,5,CARTAO_CREDITO,CIDADE_01,UF27,CANCELADO
81,2024-10-26,CLIENTE_0081,PRODUTO_082,CATEGORIA_10,2,125.97,6,PIX,CIDADE_02,UF01,PAGO
82,2025-11-27,CLIENTE_0082,PRODUTO_083,CATEGORIA_11,3,127.34,7,BOLETO,CIDADE_03,UF02,PENDENTE
83,2026-12-28,CLIENTE_0083,PRODUTO_084,CATEGORIA_12,4,128.71,8,CARTAO_DEBITO,CIDADE_04,UF03,CANCELADO
84,2024-01-01,CLIENTE_0084,PRODUTO_085,CATEGORIA_01,5,130.08,9,CARTAO_CREDITO,CIDADE_05,UF04,PAGO
85,2025-02-02,CLIENTE_0085,PRODUTO_086,CATEGORIA_02,6,131.45,10,PIX,CIDADE_06,UF05,PENDENTE
86,2026-03-03,CLIENTE_0086,PRODUTO_087,CATEGORIA_03,7,132.82,11,BOLETO,CIDADE_07,UF06,CANCELADO
87,2024-04-04,CLIENTE_0087,PRODUTO_088,CATEGORIA_04,8,134.19,12,CARTAO_DEBITO,CIDADE_08,UF07,PAGO
88,2025-05-05,CLIENTE_0088,PRODUTO_089,CATEGORIA_05,9,135.56,13,CARTAO_CREDITO,CIDADE_09,UF08,PENDENTE
89,2026-06-06,CLIENTE_0089,PRODUTO_090,CATEGORIA_06,10,136.93,14,PIX,CIDADE_10,UF09,CANCELADO
90,2024-07-07,CLIENTE_0090,PRODUTO_091,CATEGORIA_07,1,138.30,15,BOLETO,CIDADE_11,UF10,PAGO
91,2025-08-08,CLIENTE_0091,PRODUTO_092,CATEGORIA_08,2,139.67,16,CARTAO_DEBITO,CIDADE_12,UF11,PENDENTE
92,2026-09-09,CLIENTE_0092,PRODUTO_093,CATEGORIA_09,3,141.04,17,CARTAO_CREDITO,CIDADE_13,UF12,CANCELADO
93,2024-10-10,CLIENTE_0093,PRODUTO_094,CATEGORIA_10,4,142.41,18,PIX,CIDADE_14,UF13,PAGO
94,2025-11-11,CLIENTE_0094,PRODUTO_095,CATEGORIA_11,5,143.78,19,BOLETO,CIDADE_15,UF14,PENDENTE
95,2026-12-12,CLIENTE_0095,PRODUTO_096,CATEGORIA_12,6,145.15,20,CARTAO_DEBITO,CIDADE_16,UF15,CANCELADO
96,2024-01-13,CLIENTE_0096,PRODUTO_097,CATEGORIA_01,7,146.52,21,CARTAO_CREDITO,CIDADE_17,UF16,PAGO
97,2025-02-14,CLIENTE_0097,PRODUTO_098,CATEGORIA_02,8,147.89,22,PIX,CIDADE_18,UF17,PENDENTE
98,2026-03-15,CLIENTE_0098,PRODUTO_099,CATEGORIA_03,9,149.26,23,BOLETO,CIDADE_19,UF18,CANCELADO
99,2024-04-16,CLIENTE_0099,PRODUTO_100,CATEGORIA_04,10,150.63,24,CARTAO_DEBITO,CIDADE_20,UF19,PAGO
100,2025-05-17,CLIENTE_0100,PRODUTO_101,CATEGORIA_05,1,152.00,0,CARTAO_CREDITO,CIDADE_21,UF20,PENDENTE
101,2026-06-18,CLIENTE_0101,PRODUTO_102,CATEGORIA_06,2,153.37,1,PIX,CIDADE_22,UF21,CANCELADO
102,2024-07-19,CLIENTE_0102,PRODUTO_103,CATEGORIA_07,3,154.74,2,BOLETO,CIDADE_23,UF22,PAGO
103,2025-08-20,CLIENTE_0103,PRODUTO_104,CATEGORIA_08,4,156.11,3,CARTAO_DEBITO,CIDADE_24,UF23,PENDENTE
104,2026-09-21,CLIENTE_0104,PRODUTO_105,CATEGORIA_09,5,157.48,4,CARTAO_CREDITO,CIDADE_25,UF24,CANCELADO
105,2024-10-22,CLIENTE_0105,PRODUTO_106,CATEGORIA_10,6,158.85,5,PIX,CIDADE_26,UF25,PAGO
106,2025-11-23,CLIENTE_0106,PRODUTO_107,CATEGORIA_11,7,160.22,6,BOLETO,CIDADE_27,UF26,PENDENTE
107,2026-12-24,CLIENTE_0107,PRODUTO_108,CATEGORIA_12,8,161.59,7,CARTAO_DEBITO,CIDADE_28,UF27,CANCELADO
108,2024-01-25,CLIENTE_0108,PRODUTO_109,CATEGORIA_01,9,162.96,8,CARTAO_CREDITO,CIDADE_29,UF01,PAGO
109,2025-02-26,CLIENTE_0109,PRODUTO_110,CATEGORIA_02,10,164.33,9,PIX,CIDADE_30,UF02,PENDENTE
110,2026-03-27,CLIENTE_0110,PRODUTO_111,CATEGORIA_03,1,165.70,10,BOLETO,CIDADE_31,UF03,CANCELADO
111,2024-04-28,CLIENTE_0111,PRODUTO_112,CATEGORIA_04,2,167.07,11,CARTAO_DEBITO,CIDADE_32,UF04,PAGO
112,2025-05-01,CLIENTE_0112,PRODUTO_113,CATEGORIA_05,3,168.44,12,CARTAO_CREDITO,CIDADE_33,UF05,PENDENTE
113,2026-06-02,CLIENTE_0113,PRODUTO_114,CATEGORIA_06,4,169.81,13,PIX,CIDADE_34,UF06,CANCELADO
114,2024-07-03,CLIENTE_0114,PRODUTO_115,CATEGORIA_07,5,171.18,14,BOLETO,CIDADE_35,UF07,PAGO
115,2025-08-04,CLIENTE_0115,PRODUTO_116,CATEGORIA_08,6,172.55,15,CARTAO_DEBITO,CIDADE_36,UF08,PENDENTE
116,2026-09-05,CLIENTE_0116,PRODUTO_117,CATEGORIA_09,7,173.92,16,CARTAO_CREDITO,CIDADE_37,UF09,CANCELADO
117,2024-10-06,CLIENTE_0117,PRODUTO_118,CATEGORIA_10,8,175.29,17,PIX,CIDADE_38,UF10,PAGO
118,2025-11-07,CLIENTE_0118,PRODUTO_119,CATEGORIA_11,9,176.66,18,BOLETO,CIDADE_39,UF11,PENDENTE
119,2026-12-08,CLIENTE_0119,PRODUTO_120,CATEGORIA_12,10,178.03,19,CARTAO_DEBITO,CIDADE_40,UF12,CANCELADO
120,2024-01-09,CLIENTE_0120,PRODUTO_121,CATEGORIA_01,1,179.40,20,CARTAO_CREDITO,CIDADE_01,UF13,PAGO
121,2025-02-10,CLIENTE_0121,PRODUTO_122,CATEGORIA_02,2,180.77,21,PIX,CIDADE_02,UF14,PENDENTE
